study_id;median_N;se_N;N;total_SNP;mean_beta;result_lin_reg;delta_prop;over_threshold;beta_PZ;se_beta_PZ;intercept_PZ;se_intercept_PZ
NEALE2_20003_1140881856;1.0000039930600204;0.09258057549818262;361141.0;13345630;0.00010224535819405544;Row(beta=0.9999805092811584, beta_stderr=2.7121591639200915e-09, intercept=-1.135464458457136e-06, intercept_stderr=1.7388220863168158e-09);0.00470540218206427;60964;0.9999805092811584;2.7121591639200915e-09;-1.135464458457136e-06;1.7388220863168158e-09
NEALE2_20003_1140882236;0.9999986389994475;0.08270314464054603;361141.0;9626159;-0.0008380886852807784;Row(beta=0.9999781847000122, beta_stderr=1.6989156748081768e-09, intercept=-1.5240779305258911e-07, intercept_stderr=1.0423876206644422e-09);0.006290119874066962;59704;0.9999781847000122;1.6989156748081768e-09;-1.5240779305258911e-07;1.0423876206644422e-09
NEALE2_20003_1140882272;1.0000000000000002;0.08068968621998941;361141.0;7154474;-0.00046087296970047506;Row(beta=0.999978244304657, beta_stderr=1.7774869354170164e-09, intercept=-1.749918254745353e-07, intercept_stderr=1.0962748486775808e-09);0.008012880544781092;56471;0.999978244304657;1.7774869354170164e-09;-1.749918254745353e-07;1.0962748486775808e-09
NEALE2_20003_1140882498;0.9999999999999999;0.08107851651775123;361141.0;8257852;-0.000977629208215366;Row(beta=0.9999781250953674, beta_stderr=1.8235368770547211e-09, intercept=-1.3312728697201237e-07, intercept_stderr=1.1169755120832292e-09);0.007175199670872998;58391;0.9999781250953674;1.8235368770547211e-09;-1.3312728697201237e-07;1.1169755120832292e-09
NEALE2_20003_1140882728;0.9999990287640602;0.08100291285002165;361141.0;7977139;-0.00020916413772413103;Row(beta=0.999978244304657, beta_stderr=1.8651078459441806e-09, intercept=-1.854454438898756e-07, intercept_stderr=1.153778184104226e-09);0.007381428199933538;58019;0.999978244304657;1.8651078459441806e-09;-1.854454438898756e-07;1.153778184104226e-09
NEALE2_20003_1140882776;0.9999996968643245;0.08105860055128745;361141.0;8172930;-0.0009426128967624385;Row(beta=0.9999781250953674, beta_stderr=1.805020133360813e-09, intercept=-1.2971729290711664e-07, intercept_stderr=1.110855629704588e-09);0.007236182726433827;58279;0.9999781250953674;1.805020133360813e-09;-1.2971729290711664e-07;1.110855629704588e-09
NEALE2_20003_1140882782;0.9999996615903941;0.08311774266379587;361141.0;9802253;0.00012491359044072218;Row(beta=0.9999781847000122, beta_stderr=1.7079638814365694e-09, intercept=-1.5671201936129364e-07, intercept_stderr=1.0480299961201922e-09);0.006186074070456809;59792;0.9999781847000122;1.7079638814365694e-09;-1.5671201936129364e-07;1.0480299961201922e-09
NEALE2_20003_1140882910;0.9999992433226987;0.08123995507498656;361141.0;8456745;-1.2971655813143054e-05;Row(beta=0.9999781847000122, beta_stderr=1.8024974846042596e-09, intercept=-1.603973487362964e-07, intercept_stderr=1.1138731048632167e-09);0.00703621640552814;58644;0.9999781847000122;1.8024974846042596e-09;-1.603973487362964e-07;1.1138731048632167e-09
NEALE2_20003_1140883476;1.000000705677838;0.08069457730716816;361141.0;7676536;0.0009211847904887312;Row(beta=0.9999783635139465, beta_stderr=1.8808559154592785e-09, intercept=-2.2280410405528528e-07, intercept_stderr=1.1740901584289531e-09);0.007604573797976486;57514;0.9999783635139465;1.8808559154592785e-09;-2.2280410405528528e-07;1.1740901584289531e-09
NEALE2_20003_1140883548;0.9999955903045091;0.08257655481581737;361141.0;9548149;0.0009105809728180058;Row(beta=0.9999781847000122, beta_stderr=1.6919761147704548e-09, intercept=-1.5405525743972248e-07, intercept_stderr=1.0458065524687754e-09);0.006336982143433757;59660;0.9999781847000122;1.6919761147704548e-09;-1.5405525743972248e-07;1.0458065524687754e-09
NEALE2_20003_1140883656;0.9999979281887709;0.08071698695879882;361141.0;7300735;0.00022539575040389344;Row(beta=0.9999781250953674, beta_stderr=1.7786648820461437e-09, intercept=-1.286868211991532e-07, intercept_stderr=1.092370416344579e-09);0.007894332877077278;56775;0.9999781250953674;1.7786648820461437e-09;-1.286868211991532e-07;1.092370416344579e-09
NEALE2_20003_1140883664;0.9999968522885601;0.08317444376444653;361141.0;9832064;-3.921107932140268e-05;Row(beta=0.9999781847000122, beta_stderr=1.7224489612388538e-09, intercept=-1.6360452548269677e-07, intercept_stderr=1.0593933508218356e-09);0.006168957522713013;59808;0.9999781847000122;1.7224489612388538e-09;-1.6360452548269677e-07;1.0593933508218356e-09
NEALE2_20003_1140883748;1.0;0.08598701264380158;361141.0;11006579;5.08171933002843e-05;Row(beta=0.999978244304657, beta_stderr=1.5616679061025707e-09, intercept=-1.792653847587644e-07, intercept_stderr=9.630077846267682e-10);0.005563488768968221;60311;0.999978244304657;1.5616679061025707e-09;-1.792653847587644e-07;9.630077846267682e-10
NEALE2_20003_1140884308;1.0000002843416105;0.08281012208555996;361141.0;9684014;-0.0002545923305119191;Row(beta=0.9999786615371704, beta_stderr=2.073856864015511e-09, intercept=-3.4809465887519764e-07, intercept_stderr=1.288368189911182e-09);0.006254781332421531;59726;0.9999786615371704;2.073856864015511e-09;-3.4809465887519764e-07;1.288368189911182e-09
